type,ypos,xpos,speed,image,1 = obstacle,2 = turtle,3 = wetturtle,4 = logs,5 = rest,6 = end
4,1,170,1,log3,,,,,,
4,1,370,1,log3,,,,,,
4,1,570,1,log3,,,,,,
4,2,0,-2,log1,,,,,,
4,2,400,-2,log1,,,,,,
2,3,100,0.75,,,,,,,
2,3,300,0.75,,,,,,,
3,3,600,0.75,,,,,,,
4,4,0,1.5,log2,,,,,,
4,4,220,1.5,log2,,,,,,
4,4,440,1.5,log2,,,,,,
5,5,,,,,,,,,
1,6,100,1.5,car,,,,,,
1,6,300,1.5,car,,,,,,
1,6,450,1.5,car,,,,,,
1,7,500,0.75,longTruck,,,,,,
1,8,0,-1.5,shortTruck,,,,,,
1,8,300,-1.5,shortTruck,,,,,,
1,9,0,1,mediumTruck,,,,,,
1,9,300,1,mediumTruck,,,,,,
1,10,500,-5,car,,,,,,
5,11,,,,,,,,,
3,12,600,-1.5,,,,,,,
3,12,400,-1.5,,,,,,,
3,12,200,-1.5,,,,,,,
2,13,500,1.5,,,,,,,
2,13,300,1.5,,,,,,,
4,14,170,1,log3,,,,,,
4,14,370,1,log3,,,,,,
4,14,570,1,log3,,,,,,
6,15,,,,,,,,,
