obstacle,image,xpos,ypos,speed
1,mediumTruck,0,1,1
1,mediumTruck,300,1,1
1,mediumTruck,600,1,1
1,car,100,2,-1
1,car,250,2,-1
1,car,400,2,-1
1,car,550,2,-1
1,longTruck,0,3,1
1,longTruck,500,3,1
1,car,500,4,-5
1,longTruck,500,5,-1
turtle,xpos,ypos,speed,
2,500,7,-1,
2,300,7,-1,
wetturtle,xpos,ypos,speed,
3,700,7,-1,
3,600,10,-1,
3,400,10,-1,
3,200,10,-1,
log,image,xpos,ypos,speed
4,log2,0,11,0.75
4,log2,220,11,0.75
4,log2,440,11,0.75
4,log1,0,9,-2
4,log1,400,9,-2
4,log3,170,8,0.75
4,log3,370,8,0.75
4,log3,570,8,0.75
4,log1,0,12,1.5
4,log1,300,12,1.5
rest,ypos,,,
5,6,,,
end,ypos,,,
6,13,,,
insects,,,,
